Transaction Date,Post Date,Description,Category,Type,Amount
6/28/2026,6/29/2026,WHOLE FOODS MKT #123 AUSTIN TX,Groceries,Sale,-84.12
6/27/2026,6/28/2026,SHELL OIL 5729 AUSTIN TX,Gas,Sale,-52.40
6/25/2026,6/26/2026,AMAZON.COM*AB12CD3EF SEATTLE WA,Shopping,Sale,-31.99
6/24/2026,6/25/2026,STARBUCKS STORE 0421 AUSTIN TX,Food & Drink,Sale,-6.75
6/22/2026,6/23/2026,ACME CORP DIRECT DEP,Income,Payment,3200.00
6/20/2026,6/21/2026,NETFLIX.COM LOS GATOS CA,Entertainment,Sale,-15.49
6/18/2026,6/19/2026,DELTA AIR 0062148 ATLANTA GA,Travel,Sale,-289.60
6/15/2026,6/16/2026,TARGET 00023981 AUSTIN TX,Shopping,Sale,-47.83
6/12/2026,6/13/2026,PG&E ONLINE PAYMENT,Bills & Utilities,Sale,-118.20
6/10/2026,6/11/2026,TRADER JOES #045 AUSTIN TX,Groceries,Sale,-63.07
